Internship_ID,Domain,Student_ID,University,Year_of_Study,Program,Application_Date,Status,Participation,Clicks_on_Internship
690,Cybersecurity,S0305,IIT Delhi,1st Year,B.Sc,2025-11-02,Rejected,No,47
584,Blockchain,S0306,MIT,3rd Year,MBA,2025-11-03,Rejected,No,5
348,Data Science,S0307,Oxford,2nd Year,M.Tech,2025-11-04,Rejected,Yes,9
903,UI/UX Design,S0308,Berkeley,3rd Year,B.Sc,2025-11-05,Pending,No,34
584,Cybersecurity,S0309,Berkeley,2nd Year,B.Sc,2025-11-06,Accepted,No,20
926,AI/ML,S0310,Stanford,2nd Year,B.Tech,2025-11-07,Pending,No,4
516,UI/UX Design,S0311,Cambridge,1st Year,B.Sc,2025-11-08,Pending,Yes,14
294,Data Science,S0312,Oxford,4th Year,B.Tech,2025-11-09,Pending,Yes,15
196,UI/UX Design,S0313,Stanford,4th Year,B.Sc,2025-11-10,Pending,No,16
199,Web Development,S0314,MIT,1st Year,MBA,2025-11-11,Accepted,No,38
774,Web Development,S0315,MIT,2nd Year,M.Sc,2025-11-12,Accepted,Yes,49
541,AI/ML,S0316,IIT Bombay,4th Year,B.Sc,2025-11-13,Rejected,No,38
462,Cloud Computing,S0317,IIT Delhi,3rd Year,B.Sc,2025-11-14,Accepted,Yes,31
533,IoT,S0318,IIT Bombay,4th Year,B.Sc,2025-11-15,Pending,No,30
520,Web Development,S0319,Harvard,2nd Year,B.Tech,2025-11-16,Rejected,Yes,7
578,IoT,S0320,IIT Bombay,2nd Year,M.Tech,2025-11-17,Rejected,No,35
984,IoT,S0321,IIT Delhi,3rd Year,B.Tech,2025-11-18,Accepted,No,4
846,AR/VR,S0322,IIT Bombay,1st Year,MBA,2025-11-19,Rejected,No,21
155,AI/ML,S0323,Cambridge,4th Year,B.Tech,2025-11-20,Accepted,Yes,41
789,Data Science,S0324,NUS,1st Year,M.Tech,2025-11-21,Rejected,Yes,5
769,AI/ML,S0325,IIT Bombay,4th Year,MBA,2025-11-22,Pending,Yes,13
761,Cloud Computing,S0326,Stanford,3rd Year,M.Tech,2025-11-23,Rejected,Yes,31
200,Cybersecurity,S0327,IIT Delhi,1st Year,M.Tech,2025-11-24,Accepted,Yes,8
162,Web Development,S0328,NTU,4th Year,M.Sc,2025-11-25,Pending,Yes,29
512,Embedded Systems,S0329,Berkeley,4th Year,MBA,2025-11-26,Rejected,Yes,6
845,AR/VR,S0330,Harvard,2nd Year,M.Sc,2025-11-27,Accepted,Yes,31
447,Embedded Systems,S0331,IIT Delhi,2nd Year,M.Sc,2025-11-28,Pending,No,13
919,Blockchain,S0332,Stanford,4th Year,M.Tech,2025-11-29,Pending,Yes,7
982,Data Science,S0333,MIT,2nd Year,M.Sc,2025-11-30,Pending,Yes,35
211,Cloud Computing,S0334,Oxford,4th Year,B.Tech,2025-12-01,Accepted,Yes,38
354,Cybersecurity,S0335,MIT,4th Year,M.Sc,2025-12-02,Pending,No,14
296,Cloud Computing,S0336,Cambridge,2nd Year,M.Sc,2025-12-03,Rejected,Yes,39
294,Data Science,S0337,Oxford,2nd Year,M.Tech,2025-12-04,Rejected,No,32
649,AI/ML,S0338,Stanford,2nd Year,B.Sc,2025-12-05,Pending,No,20
559,Cybersecurity,S0339,Stanford,1st Year,B.Tech,2025-12-06,Pending,No,37
243,Blockchain,S0340,Cambridge,3rd Year,M.Tech,2025-12-07,Accepted,Yes,1
532,AR/VR,S0341,Harvard,4th Year,B.Sc,2025-12-08,Rejected,Yes,38
287,IoT,S0342,IIT Bombay,3rd Year,B.Tech,2025-12-09,Pending,No,28
385,Data Science,S0343,Harvard,1st Year,MBA,2025-12-10,Pending,No,8
573,Data Science,S0344,Stanford,1st Year,B.Tech,2025-12-11,Rejected,Yes,47
355,IoT,S0345,NUS,4th Year,MBA,2025-12-12,Pending,Yes,29
995,AR/VR,S0346,Stanford,4th Year,B.Tech,2025-12-13,Accepted,Yes,50
177,Embedded Systems,S0347,Cambridge,3rd Year,B.Sc,2025-12-14,Rejected,No,42
553,AI/ML,S0348,NTU,3rd Year,MBA,2025-12-15,Rejected,No,13
927,Embedded Systems,S0349,NTU,2nd Year,M.Sc,2025-12-16,Pending,No,38
982,AR/VR,S0350,IIT Delhi,3rd Year,B.Tech,2025-12-17,Rejected,Yes,41
976,Cybersecurity,S0351,MIT,3rd Year,MBA,2025-12-18,Accepted,Yes,40
663,Web Development,S0352,IIT Bombay,1st Year,M.Tech,2025-12-19,Rejected,Yes,49
200,Cloud Computing,S0353,Harvard,3rd Year,B.Tech,2025-12-20,Accepted,No,30
151,Blockchain,S0354,NTU,2nd Year,B.Tech,2025-12-21,Pending,No,1
767,AI/ML,S0355,IIT Bombay,3rd Year,B.Sc,2025-12-22,Accepted,Yes,17
653,AR/VR,S0356,Harvard,4th Year,B.Sc,2025-12-23,Pending,Yes,49
956,UI/UX Design,S0357,MIT,2nd Year,B.Sc,2025-12-24,Accepted,No,27
115,Cybersecurity,S0358,Stanford,4th Year,MBA,2025-12-25,Pending,Yes,39
195,AR/VR,S0359,Cambridge,1st Year,M.Sc,2025-12-26,Pending,Yes,18
871,Blockchain,S0360,Berkeley,2nd Year,B.Tech,2025-12-27,Accepted,Yes,32
969,Web Development,S0361,Berkeley,2nd Year,MBA,2025-12-28,Accepted,No,41
342,Data Science,S0362,IIT Bombay,3rd Year,B.Tech,2025-12-29,Rejected,No,12
270,Embedded Systems,S0363,NUS,2nd Year,M.Sc,2025-12-30,Pending,Yes,22
516,UI/UX Design,S0364,NUS,1st Year,B.Sc,2025-12-31,Rejected,Yes,33
597,Data Science,S0365,Oxford,1st Year,MBA,2026-01-01,Rejected,No,31
592,Embedded Systems,S0366,Oxford,1st Year,M.Sc,2026-01-02,Pending,No,33
318,Embedded Systems,S0367,Oxford,2nd Year,M.Tech,2026-01-03,Accepted,No,19
985,Embedded Systems,S0368,Berkeley,2nd Year,M.Tech,2026-01-04,Accepted,Yes,42
510,Embedded Systems,S0369,Stanford,3rd Year,B.Tech,2026-01-05,Pending,Yes,20
160,Embedded Systems,S0370,MIT,1st Year,MBA,2026-01-06,Rejected,No,17
268,AI/ML,S0371,IIT Bombay,3rd Year,MBA,2026-01-07,Rejected,Yes,35
488,Blockchain,S0372,NTU,1st Year,B.Tech,2026-01-08,Rejected,Yes,16
102,IoT,S0373,NUS,3rd Year,B.Tech,2026-01-09,Pending,Yes,22
499,AI/ML,S0374,IIT Delhi,4th Year,M.Sc,2026-01-10,Rejected,No,18
371,Blockchain,S0375,Harvard,4th Year,M.Sc,2026-01-11,Rejected,No,44
902,UI/UX Design,S0376,MIT,1st Year,B.Sc,2026-01-12,Rejected,Yes,36
903,Cloud Computing,S0377,Cambridge,3rd Year,B.Tech,2026-01-13,Rejected,No,33
565,AI/ML,S0378,MIT,2nd Year,B.Sc,2026-01-14,Accepted,Yes,20
392,UI/UX Design,S0379,IIT Bombay,2nd Year,MBA,2026-01-15,Pending,No,41
533,Data Science,S0380,Stanford,2nd Year,M.Tech,2026-01-16,Pending,Yes,29
813,UI/UX Design,S0381,Oxford,3rd Year,M.Tech,2026-01-17,Rejected,Yes,8
848,Cybersecurity,S0382,NTU,4th Year,B.Sc,2026-01-18,Rejected,Yes,49
902,Data Science,S0383,IIT Delhi,2nd Year,B.Tech,2026-01-19,Pending,No,12
669,AR/VR,S0384,Berkeley,1st Year,B.Tech,2026-01-20,Accepted,Yes,32
777,UI/UX Design,S0385,Stanford,4th Year,M.Tech,2026-01-21,Pending,Yes,1
835,Web Development,S0386,MIT,1st Year,M.Tech,2026-01-22,Pending,Yes,21
598,AI/ML,S0387,Berkeley,3rd Year,B.Sc,2026-01-23,Rejected,Yes,33
258,UI/UX Design,S0388,Harvard,2nd Year,B.Sc,2026-01-24,Accepted,Yes,31
294,Embedded Systems,S0389,Oxford,1st Year,MBA,2026-01-25,Accepted,No,32
403,UI/UX Design,S0390,Stanford,3rd Year,M.Tech,2026-01-26,Rejected,No,11
322,Web Development,S0391,IIT Delhi,2nd Year,B.Tech,2026-01-27,Pending,No,12
159,IoT,S0392,Stanford,3rd Year,MBA,2026-01-28,Accepted,No,5
693,IoT,S0393,Oxford,1st Year,B.Sc,2026-01-29,Pending,No,49
853,Web Development,S0394,IIT Bombay,4th Year,B.Sc,2026-01-30,Rejected,No,28
655,Web Development,S0395,IIT Delhi,1st Year,MBA,2026-01-31,Rejected,No,44
162,Data Science,S0396,IIT Delhi,1st Year,M.Sc,2026-02-01,Pending,No,20
865,IoT,S0397,Oxford,4th Year,M.Tech,2026-02-02,Accepted,No,7
421,AI/ML,S0398,Stanford,3rd Year,MBA,2026-02-03,Pending,No,29
158,Cloud Computing,S0399,NUS,3rd Year,B.Tech,2026-02-04,Accepted,Yes,22
151,Cybersecurity,S0400,IIT Bombay,1st Year,MBA,2026-02-05,Rejected,No,41
698,AI/ML,S0401,Harvard,1st Year,M.Sc,2026-02-06,Pending,No,44
588,Cybersecurity,S0402,Cambridge,3rd Year,M.Tech,2026-02-07,Rejected,No,35
614,AI/ML,S0403,IIT Bombay,4th Year,B.Sc,2026-02-08,Rejected,No,12
973,UI/UX Design,S0404,Cambridge,2nd Year,B.Sc,2026-02-09,Accepted,Yes,13
643,Cloud Computing,S0405,Harvard,4th Year,B.Sc,2026-02-10,Accepted,No,50
261,Embedded Systems,S0406,IIT Delhi,1st Year,B.Sc,2026-02-11,Accepted,Yes,7
158,Blockchain,S0407,MIT,3rd Year,MBA,2026-02-12,Pending,Yes,49
620,Embedded Systems,S0408,Oxford,4th Year,M.Sc,2026-02-13,Accepted,No,15
182,IoT,S0409,IIT Delhi,1st Year,M.Sc,2026-02-14,Pending,Yes,14
971,Cloud Computing,S0410,IIT Delhi,2nd Year,B.Sc,2026-02-15,Pending,Yes,20
290,AI/ML,S0411,Oxford,2nd Year,B.Tech,2026-02-16,Accepted,No,33
170,Cybersecurity,S0412,Berkeley,4th Year,B.Sc,2026-02-17,Rejected,No,20
709,Cloud Computing,S0413,Oxford,1st Year,MBA,2026-02-18,Pending,Yes,21
169,UI/UX Design,S0414,NTU,1st Year,M.Sc,2026-02-19,Pending,Yes,50
791,AI/ML,S0415,MIT,2nd Year,M.Tech,2026-02-20,Accepted,No,34
982,UI/UX Design,S0416,Harvard,3rd Year,B.Sc,2026-02-21,Pending,No,31
340,Cloud Computing,S0417,Stanford,3rd Year,B.Sc,2026-02-22,Accepted,Yes,7
513,Data Science,S0418,Stanford,4th Year,B.Tech,2026-02-23,Rejected,Yes,44
222,UI/UX Design,S0419,Cambridge,4th Year,B.Tech,2026-02-24,Rejected,Yes,20
683,Blockchain,S0420,NUS,2nd Year,M.Sc,2026-02-25,Pending,No,40
352,Blockchain,S0421,IIT Bombay,1st Year,MBA,2026-02-26,Accepted,Yes,14
692,IoT,S0422,NTU,3rd Year,B.Sc,2026-02-27,Accepted,No,37
708,Blockchain,S0423,Berkeley,3rd Year,M.Tech,2026-02-28,Accepted,No,44
140,UI/UX Design,S0424,NUS,3rd Year,M.Tech,2026-03-01,Rejected,Yes,10
734,Web Development,S0425,MIT,3rd Year,B.Sc,2026-03-02,Rejected,No,21
183,IoT,S0426,IIT Bombay,2nd Year,M.Sc,2026-03-03,Accepted,No,11
529,IoT,S0427,NUS,3rd Year,M.Sc,2026-03-04,Accepted,No,13
773,UI/UX Design,S0428,IIT Bombay,1st Year,B.Tech,2026-03-05,Accepted,No,50
697,Embedded Systems,S0429,NUS,3rd Year,MBA,2026-03-06,Pending,No,26
678,Cloud Computing,S0430,IIT Delhi,4th Year,B.Sc,2026-03-07,Pending,No,11
635,Data Science,S0431,NTU,1st Year,B.Sc,2026-03-08,Rejected,No,11
423,Blockchain,S0432,Berkeley,3rd Year,B.Tech,2026-03-09,Pending,Yes,40
367,Data Science,S0433,IIT Delhi,2nd Year,B.Sc,2026-03-10,Rejected,Yes,43
309,Blockchain,S0434,Oxford,2nd Year,MBA,2026-03-11,Accepted,No,11
785,AR/VR,S0435,Stanford,3rd Year,M.Tech,2026-03-12,Pending,Yes,21
833,Web Development,S0436,IIT Bombay,4th Year,M.Tech,2026-03-13,Pending,No,34
421,Embedded Systems,S0437,MIT,2nd Year,MBA,2026-03-14,Rejected,No,31
344,Cloud Computing,S0438,NUS,1st Year,M.Tech,2026-03-15,Accepted,No,42
371,UI/UX Design,S0439,NTU,4th Year,M.Sc,2026-03-16,Accepted,No,39
505,Data Science,S0440,NUS,2nd Year,B.Sc,2026-03-17,Accepted,Yes,27
234,Data Science,S0441,NTU,4th Year,MBA,2026-03-18,Accepted,Yes,50
787,UI/UX Design,S0442,NTU,2nd Year,M.Sc,2026-03-19,Rejected,No,47
760,Cloud Computing,S0443,Harvard,2nd Year,B.Tech,2026-03-20,Rejected,Yes,18
407,Cloud Computing,S0444,Stanford,4th Year,M.Sc,2026-03-21,Rejected,No,15
568,IoT,S0445,IIT Delhi,3rd Year,B.Tech,2026-03-22,Pending,Yes,17
423,AR/VR,S0446,Harvard,3rd Year,B.Tech,2026-03-23,Pending,No,31
869,Blockchain,S0447,Harvard,4th Year,M.Sc,2026-03-24,Accepted,Yes,20
174,Web Development,S0448,Berkeley,2nd Year,B.Tech,2026-03-25,Pending,No,24
109,IoT,S0449,Berkeley,2nd Year,M.Sc,2026-03-26,Pending,No,10
569,UI/UX Design,S0450,Harvard,2nd Year,B.Sc,2026-03-27,Rejected,No,20
736,IoT,S0451,MIT,2nd Year,B.Sc,2026-03-28,Pending,Yes,22
676,AI/ML,S0452,IIT Bombay,2nd Year,B.Tech,2026-03-29,Pending,No,47
202,UI/UX Design,S0453,Stanford,3rd Year,B.Sc,2026-03-30,Pending,Yes,23
175,AR/VR,S0454,IIT Bombay,2nd Year,M.Sc,2026-03-31,Accepted,No,48
650,Blockchain,S0455,Berkeley,4th Year,MBA,2026-04-01,Rejected,Yes,21
318,Cloud Computing,S0456,Harvard,2nd Year,MBA,2026-04-02,Pending,Yes,29
618,AI/ML,S0457,NTU,2nd Year,MBA,2026-04-03,Rejected,No,20
371,Data Science,S0458,Oxford,3rd Year,M.Sc,2026-04-04,Rejected,Yes,28
235,Blockchain,S0459,Cambridge,1st Year,B.Tech,2026-04-05,Pending,Yes,37
457,UI/UX Design,S0460,Stanford,1st Year,M.Sc,2026-04-06,Pending,No,26
170,Embedded Systems,S0461,Stanford,2nd Year,B.Tech,2026-04-07,Rejected,No,49
350,Web Development,S0462,IIT Bombay,3rd Year,B.Tech,2026-04-08,Rejected,Yes,27
478,AI/ML,S0463,NUS,2nd Year,B.Sc,2026-04-09,Accepted,No,1
391,Web Development,S0464,IIT Bombay,1st Year,M.Tech,2026-04-10,Accepted,No,49
261,AR/VR,S0465,NUS,3rd Year,M.Tech,2026-04-11,Accepted,Yes,26
548,IoT,S0466,Cambridge,4th Year,B.Sc,2026-04-12,Accepted,Yes,4
953,AI/ML,S0467,Oxford,4th Year,B.Tech,2026-04-13,Accepted,No,27
656,Web Development,S0468,NUS,3rd Year,B.Tech,2026-04-14,Rejected,Yes,23
820,Data Science,S0469,IIT Delhi,4th Year,B.Sc,2026-04-15,Pending,No,42
409,Cybersecurity,S0470,MIT,3rd Year,MBA,2026-04-16,Pending,No,9
726,UI/UX Design,S0471,NTU,2nd Year,MBA,2026-04-17,Pending,Yes,30
926,UI/UX Design,S0472,NTU,2nd Year,M.Sc,2026-04-18,Accepted,Yes,50
769,Blockchain,S0473,NUS,1st Year,B.Sc,2026-04-19,Accepted,No,18
641,AR/VR,S0474,IIT Bombay,2nd Year,B.Sc,2026-04-20,Pending,Yes,2
108,AI/ML,S0475,Stanford,2nd Year,M.Sc,2026-04-21,Pending,Yes,46
783,AR/VR,S0476,IIT Bombay,1st Year,MBA,2026-04-22,Pending,No,13
936,Web Development,S0477,Harvard,3rd Year,MBA,2026-04-23,Rejected,Yes,14
667,IoT,S0478,Harvard,2nd Year,M.Tech,2026-04-24,Rejected,No,43
406,UI/UX Design,S0479,NTU,2nd Year,M.Tech,2026-04-25,Pending,Yes,46
779,UI/UX Design,S0480,NTU,2nd Year,M.Tech,2026-04-26,Pending,Yes,17
206,IoT,S0481,NTU,1st Year,B.Tech,2026-04-27,Accepted,No,19
999,Data Science,S0482,Stanford,3rd Year,M.Sc,2026-04-28,Pending,No,24
237,AR/VR,S0483,Stanford,1st Year,MBA,2026-04-29,Accepted,Yes,2
370,Web Development,S0484,NTU,4th Year,B.Tech,2026-04-30,Rejected,No,21
218,Embedded Systems,S0485,Stanford,2nd Year,B.Sc,2026-05-01,Rejected,No,28
209,UI/UX Design,S0486,Oxford,4th Year,M.Sc,2026-05-02,Pending,No,25
860,Blockchain,S0487,NUS,3rd Year,B.Tech,2026-05-03,Pending,Yes,21
666,UI/UX Design,S0488,Cambridge,2nd Year,B.Tech,2026-05-04,Rejected,No,36
259,Cloud Computing,S0489,IIT Bombay,4th Year,B.Sc,2026-05-05,Rejected,No,36
378,Cybersecurity,S0490,Oxford,4th Year,B.Tech,2026-05-06,Pending,No,48
388,Data Science,S0491,IIT Bombay,4th Year,B.Tech,2026-05-07,Accepted,Yes,13
719,AI/ML,S0492,IIT Delhi,2nd Year,M.Tech,2026-05-08,Accepted,No,14
315,Web Development,S0493,NTU,2nd Year,B.Sc,2026-05-09,Rejected,No,40
834,IoT,S0494,NTU,2nd Year,B.Sc,2026-05-10,Accepted,Yes,33
451,Embedded Systems,S0495,IIT Delhi,2nd Year,B.Sc,2026-05-11,Pending,Yes,29
308,Blockchain,S0496,MIT,1st Year,M.Sc,2026-05-12,Pending,No,18
803,Embedded Systems,S0497,Harvard,4th Year,B.Sc,2026-05-13,Accepted,Yes,7
749,Data Science,S0498,Oxford,1st Year,MBA,2026-05-14,Rejected,No,5
973,Cloud Computing,S0499,IIT Bombay,3rd Year,M.Sc,2026-05-15,Pending,Yes,16
370,Cloud Computing,S0500,Harvard,4th Year,M.Sc,2026-05-16,Accepted,No,11
617,IoT,S0501,NTU,2nd Year,MBA,2026-05-17,Rejected,No,21
600,Cybersecurity,S0502,NTU,2nd Year,B.Sc,2026-05-18,Pending,Yes,47
357,AR/VR,S0503,IIT Bombay,2nd Year,MBA,2026-05-19,Pending,No,31
966,Cloud Computing,S0504,MIT,1st Year,B.Tech,2026-05-20,Pending,No,47
152,IoT,S0505,IIT Bombay,2nd Year,M.Tech,2026-05-21,Rejected,Yes,38
194,Cybersecurity,S0506,Cambridge,4th Year,M.Tech,2026-05-22,Accepted,No,31
749,Data Science,S0507,Berkeley,4th Year,B.Tech,2026-05-23,Pending,No,3
533,Web Development,S0508,MIT,3rd Year,M.Tech,2026-05-24,Pending,Yes,50
949,Data Science,S0509,IIT Delhi,4th Year,B.Tech,2026-05-25,Pending,Yes,43
383,IoT,S0510,Oxford,2nd Year,B.Tech,2026-05-26,Pending,No,25
145,Web Development,S0511,Cambridge,4th Year,M.Tech,2026-05-27,Pending,No,45
103,IoT,S0512,MIT,4th Year,B.Tech,2026-05-28,Accepted,No,46
441,Data Science,S0513,Cambridge,1st Year,M.Tech,2026-05-29,Accepted,No,32
889,UI/UX Design,S0514,Oxford,4th Year,B.Sc,2026-05-30,Pending,No,16
233,UI/UX Design,S0515,Oxford,3rd Year,M.Tech,2026-05-31,Accepted,No,18
752,Data Science,S0516,Oxford,4th Year,M.Tech,2026-06-01,Accepted,No,39
368,Embedded Systems,S0517,IIT Delhi,1st Year,B.Sc,2026-06-02,Pending,No,38
265,Embedded Systems,S0518,Stanford,1st Year,M.Sc,2026-06-03,Pending,No,25
859,Cloud Computing,S0519,Berkeley,4th Year,M.Tech,2026-06-04,Accepted,No,4
552,Cloud Computing,S0520,Harvard,4th Year,B.Tech,2026-06-05,Accepted,Yes,7
664,Web Development,S0521,Oxford,1st Year,MBA,2026-06-06,Pending,Yes,4
822,Web Development,S0522,IIT Delhi,2nd Year,B.Sc,2026-06-07,Rejected,No,41
537,UI/UX Design,S0523,Cambridge,4th Year,M.Tech,2026-06-08,Rejected,Yes,22
674,Embedded Systems,S0524,Oxford,1st Year,B.Sc,2026-06-09,Accepted,Yes,18
109,Cybersecurity,S0525,IIT Bombay,4th Year,B.Sc,2026-06-10,Accepted,No,35
214,Data Science,S0526,NTU,1st Year,B.Tech,2026-06-11,Accepted,Yes,24
177,Cybersecurity,S0527,Stanford,2nd Year,B.Tech,2026-06-12,Pending,No,29
807,Web Development,S0528,Berkeley,3rd Year,M.Tech,2026-06-13,Accepted,Yes,19
252,Cybersecurity,S0529,IIT Delhi,4th Year,M.Tech,2026-06-14,Pending,No,8
658,IoT,S0530,Berkeley,4th Year,B.Sc,2026-06-15,Accepted,Yes,31
136,AI/ML,S0531,IIT Bombay,3rd Year,B.Sc,2026-06-16,Accepted,No,9
954,UI/UX Design,S0532,IIT Delhi,3rd Year,B.Sc,2026-06-17,Pending,Yes,48
478,Embedded Systems,S0533,NUS,4th Year,B.Tech,2026-06-18,Rejected,No,5
696,AR/VR,S0534,Cambridge,2nd Year,B.Sc,2026-06-19,Accepted,Yes,21
665,UI/UX Design,S0535,MIT,4th Year,M.Sc,2026-06-20,Accepted,No,50
251,IoT,S0536,NUS,3rd Year,M.Tech,2026-06-21,Accepted,No,47
540,Embedded Systems,S0537,Harvard,1st Year,M.Tech,2026-06-22,Pending,Yes,27
230,Web Development,S0538,Stanford,2nd Year,MBA,2026-06-23,Rejected,Yes,10
142,AR/VR,S0539,Oxford,4th Year,M.Sc,2026-06-24,Rejected,Yes,10
415,Data Science,S0540,NUS,4th Year,B.Sc,2026-06-25,Pending,No,38
473,Data Science,S0541,IIT Bombay,1st Year,B.Tech,2026-06-26,Accepted,Yes,20
915,Cloud Computing,S0542,Harvard,1st Year,MBA,2026-06-27,Rejected,No,37
981,Blockchain,S0543,NUS,2nd Year,B.Tech,2026-06-28,Pending,Yes,13
140,IoT,S0544,NTU,2nd Year,B.Tech,2026-06-29,Accepted,No,36
466,Embedded Systems,S0545,MIT,4th Year,B.Sc,2026-06-30,Accepted,No,6
315,Blockchain,S0546,Harvard,4th Year,B.Sc,2026-07-01,Rejected,No,29
798,Blockchain,S0547,Berkeley,3rd Year,B.Sc,2026-07-02,Accepted,Yes,16
355,AR/VR,S0548,Berkeley,4th Year,M.Sc,2026-07-03,Pending,Yes,21
782,Data Science,S0549,MIT,1st Year,M.Sc,2026-07-04,Rejected,Yes,37
205,Web Development,S0550,Berkeley,2nd Year,M.Sc,2026-07-05,Pending,Yes,35
462,UI/UX Design,S0551,MIT,4th Year,MBA,2026-07-06,Pending,Yes,49
898,Data Science,S0552,IIT Delhi,2nd Year,B.Tech,2026-07-07,Rejected,No,43
673,IoT,S0553,MIT,4th Year,B.Sc,2026-07-08,Accepted,Yes,17
995,IoT,S0554,Cambridge,1st Year,B.Sc,2026-07-09,Pending,Yes,36
516,Embedded Systems,S0555,Berkeley,3rd Year,B.Sc,2026-07-10,Rejected,Yes,34
735,UI/UX Design,S0556,Oxford,3rd Year,M.Sc,2026-07-11,Pending,No,19
867,Web Development,S0557,Cambridge,2nd Year,M.Sc,2026-07-12,Rejected,No,45
258,Embedded Systems,S0558,IIT Delhi,1st Year,M.Sc,2026-07-13,Pending,Yes,2
342,AR/VR,S0559,NUS,1st Year,B.Sc,2026-07-14,Rejected,No,9
985,Web Development,S0560,IIT Bombay,1st Year,M.Tech,2026-07-15,Pending,Yes,50
266,Web Development,S0561,Stanford,4th Year,B.Tech,2026-07-16,Pending,Yes,50
919,Blockchain,S0562,MIT,3rd Year,M.Sc,2026-07-17,Pending,Yes,5
930,Embedded Systems,S0563,Berkeley,1st Year,B.Tech,2026-07-18,Accepted,Yes,45
281,AI/ML,S0564,Cambridge,4th Year,B.Sc,2026-07-19,Pending,Yes,46
522,Data Science,S0565,IIT Delhi,2nd Year,M.Sc,2026-07-20,Accepted,Yes,48
125,Embedded Systems,S0566,NTU,4th Year,MBA,2026-07-21,Pending,Yes,21
283,Web Development,S0567,IIT Delhi,4th Year,M.Sc,2026-07-22,Accepted,Yes,24
854,Cloud Computing,S0568,Harvard,1st Year,B.Tech,2026-07-23,Accepted,Yes,50
440,Web Development,S0569,IIT Delhi,2nd Year,MBA,2026-07-24,Accepted,Yes,29
901,Web Development,S0570,NTU,3rd Year,B.Sc,2026-07-25,Accepted,No,48
521,UI/UX Design,S0571,NUS,2nd Year,B.Sc,2026-07-26,Accepted,Yes,14
921,Cybersecurity,S0572,Cambridge,2nd Year,B.Tech,2026-07-27,Rejected,No,12
785,UI/UX Design,S0573,Cambridge,2nd Year,B.Sc,2026-07-28,Accepted,No,21
984,Embedded Systems,S0574,Harvard,2nd Year,M.Sc,2026-07-29,Accepted,Yes,30
852,Cloud Computing,S0575,Oxford,1st Year,MBA,2026-07-30,Pending,Yes,15
930,Data Science,S0576,Stanford,4th Year,B.Sc,2026-07-31,Pending,No,30
354,Cloud Computing,S0577,Oxford,3rd Year,B.Sc,2026-08-01,Accepted,No,24
373,Cybersecurity,S0578,MIT,3rd Year,B.Tech,2026-08-02,Pending,No,22
263,Embedded Systems,S0579,IIT Bombay,4th Year,M.Tech,2026-08-03,Rejected,Yes,13
906,Cloud Computing,S0580,MIT,3rd Year,MBA,2026-08-04,Rejected,Yes,44
818,Web Development,S0581,Harvard,2nd Year,M.Tech,2026-08-05,Accepted,No,46
210,Cloud Computing,S0582,NTU,1st Year,B.Sc,2026-08-06,Pending,No,17
491,AR/VR,S0583,Berkeley,2nd Year,MBA,2026-08-07,Pending,Yes,17
993,Embedded Systems,S0584,Berkeley,2nd Year,B.Sc,2026-08-08,Rejected,No,39
139,Data Science,S0585,Berkeley,1st Year,M.Tech,2026-08-09,Accepted,Yes,48
979,Embedded Systems,S0586,Berkeley,3rd Year,M.Sc,2026-08-10,Pending,Yes,2
581,Web Development,S0587,Oxford,1st Year,M.Tech,2026-08-11,Rejected,Yes,9
327,AR/VR,S0588,IIT Bombay,4th Year,M.Sc,2026-08-12,Rejected,Yes,8
304,AR/VR,S0589,NUS,4th Year,MBA,2026-08-13,Rejected,Yes,42
936,Web Development,S0590,MIT,4th Year,M.Sc,2026-08-14,Pending,Yes,27
571,Web Development,S0591,MIT,1st Year,B.Sc,2026-08-15,Accepted,Yes,28
458,AR/VR,S0592,IIT Delhi,4th Year,M.Tech,2026-08-16,Rejected,No,26
412,AR/VR,S0593,Harvard,2nd Year,MBA,2026-08-17,Rejected,No,32
940,UI/UX Design,S0594,Harvard,2nd Year,B.Sc,2026-08-18,Accepted,No,4
914,AR/VR,S0595,NTU,4th Year,B.Sc,2026-08-19,Rejected,No,34
992,AI/ML,S0596,MIT,4th Year,MBA,2026-08-20,Pending,Yes,4
333,AI/ML,S0597,Berkeley,4th Year,B.Sc,2026-08-21,Rejected,No,33
328,Data Science,S0598,Oxford,4th Year,M.Tech,2026-08-22,Pending,No,24
124,AI/ML,S0599,NTU,1st Year,M.Sc,2026-08-23,Accepted,No,2
775,AR/VR,S0600,Oxford,1st Year,M.Tech,2026-08-24,Pending,No,37
297,Cloud Computing,S0601,Oxford,2nd Year,MBA,2026-08-25,Accepted,No,28
508,Cybersecurity,S0602,IIT Bombay,3rd Year,B.Tech,2026-08-26,Accepted,Yes,3
436,AR/VR,S0603,IIT Bombay,2nd Year,B.Sc,2026-08-27,Pending,No,33
385,Blockchain,S0604,Cambridge,1st Year,M.Tech,2026-08-28,Pending,No,21
985,AR/VR,S0605,IIT Delhi,2nd Year,M.Tech,2026-08-29,Rejected,No,35
171,AI/ML,S0606,Oxford,2nd Year,M.Tech,2026-08-30,Pending,Yes,32
891,IoT,S0607,Berkeley,1st Year,M.Tech,2026-08-31,Pending,Yes,19
385,Embedded Systems,S0608,IIT Delhi,3rd Year,M.Sc,2026-09-01,Pending,No,37
459,Cloud Computing,S0609,Oxford,1st Year,B.Sc,2026-09-02,Accepted,No,22
